,Symbol
39039,1099333.SW
11858,10996790.SW
40461,1099891.SW
24211,10AK.L
22605,10BV.L
14419,10ID.L
10024,10KI.L
14873,10LH.L
17708,10PB.L
15747,10PP.L
7941,10RY.L
24203,10XA.L
24938,10XP.L
40425,11027010.IR
33781,110438.BO
42598,110598.BO
40999,1106155.IR
22262,11068618.DU
21330,11068618.F
21327,11068618.SG
32996,11071549.SW
35363,11071555.SW
29867,11072442.IR
40429,11092930.IR
38961,11092940.IR
43352,11095184.IR
40493,11101250.SW
43166,11101331.MC
30730,11127479.IR
32139,11127519.IR
39408,11127532.IR
38501,11127532.IR
32890,11127532.SW
39596,11127543.SW
38688,11127543.SW
31947,11127606.IR
22075,11145960.NX
30157,11148245.IR
35586,111549.BO
30377,111713.BO
21307,11176253.SW
31636,11178750.SW
28488,11187687.IR
12343,11187697.SW
41493,111918.BO
43755,11193957.IR
31199,111980.BO
43971,111998.BO
24931,11202645.SW
43242,112058.BO
13694,11209014.SW
43300,11224905.IR
43809,112293.BO
42674,11232022.IR
41910,112346.BO
40146,112414.BO
36510,11241564.IR
30694,11241570.IR
30200,11241573.IR
32569,11241579.IR
44293,11242823.IR
44415,11244.AX
28689,11263762.SW
26759,11265479.IR
42963,11269601.SW
31567,1127444.IR
30576,112785.BO
21401,11279840.SG
23558,11289010.NX
32599,112941.BO
31511,112967.BO
14367,11299035.BE
14356,11299035.MU
28934,113136.BO
40349,113185.BO
41441,113271.BO
43125,113298.BO
40336,11338588.IR
40689,113528.BO
37352,113562.BO
28973,11357613.SW
39861,11357616.SW
41266,11357732.SW
28122,11358996.IR
29019,11372051.SW
32523,11376322.IR
43262,11376569.IR
37311,11396233.SW
17269,114100.KS
28506,11416998.MC
38849,114240.BO
39862,114252.BO
17192,114260.KS
31275,114360.BO
24910,11439031.SW
17261,114460.KS
35085,11446486.SW
17434,114470.KS
33250,1145103.IR
17275,114800.KS
27272,11481547.SW
17286,114820.KS
31034,11489945.IR
29381,114964.BO
42523,115069.BO
28499,115078.BO
36636,11514198.SW
32085,11548159.SW
43090,11558260.MC
30889,11565414.SW
40951,11569806.IR
28962,115702.BO
43164,115886.BO
32220,11589.AX
24895,11601535.SW
42991,116020.BO
30645,116153.BO
15392,11620753.SW
15855,11620778.SW
14405,11620821.SW
30692,116298.BO
44177,11631994.IR
28762,116368.BO
30268,116373.BO
37690,116380.BO
35468,116385.BO
44413,116394.BO
41019,116425.BO
32521,116484.BO
14970,116497.L
40682,116708.BO
42189,11677117.SW
10013,116850.L
41067,11704370.SW
38486,11704465.SW
39393,11704465.SW
41885,11704523.SW
44291,11732061.IR
31547,11745258.SW
17425,117460.KS
17392,117680.KS
38001,1176855.SW
39007,1176855.SW
36023,11769.AX
17318,117690.KS
38785,11769855.SW
37783,11769855.SW
11437,117700.KS
16712,117705.L
8032,117709.L
43075,117718.BO
17268,117740.KS
18748,11776972.IR
43434,117874.BO
37156,117942.BO
29313,117974.BO
37498,11800134.SW
29209,11800138.SW
28289,118210.L
15760,118216.L
43540,118281.BO
35848,118322.BO
41313,11834324.MC
36543,118348.BO
43393,118388.BO
35090,118389.BO
43223,118393.BO
31715,118396.BO
37535,118403.BO
35061,118429.BO
29218,118456.BO
34530,118466.BO
43275,11848460.IR
34443,11848659.IR
42516,118497.BO
28891,118501.BO
35300,11854147.SW
32107,11854155.SW
31729,118576.BO
42950,118612.BO
29674,118661.BO
29694,118698.BO
33558,118716.BO
43048,118749.BO
36366,11875509.IR
34898,118765.BO
29510,118767.BO
43591,118811.BO
31738,118842.BO
40650,118844.BO
36196,11890220.SW
36314,118904.BO
23151,11892387.SW
9017,11892389.SW
23166,11892391.SW
41431,118958.BO
30290,118960.BO
32385,118967.BO
14763,119006.L
34842,119024.BO
32795,11905966.SW
41739,119085.BO
43146,11909478.IR
29566,119111.BO
29636,119120.BO
43602,119131.BO
31005,119158.BO
10072,11925964.SW
16149,11925970.SW
9967,11926022.SW
21289,11926029.SW
10438,11926038.SW
25013,11926049.SW
31437,119312.BO
44118,119349.BO
28780,119365.BO
28479,119387.BO
35170,119391.BO
36729,119395.BO
41598,119409.BO
29954,119422.BO
43103,119426.BO
38174,11943788.IR
39281,11943788.IR
29624,119454.BO
38806,11949050.IR
37801,11949050.IR
30067,119497.BO
32413,119512.BO
40129,119541.BO
43694,119550.BO
35176,119553.BO
35000,119610.BO
39184,11962668.IR
38281,11962668.IR
35492,11962741.IR
40339,119637.BO
28457,119651.BO
35388,119655.BO
30441,119663.BO
38236,11966454.IR
39140,11966454.IR
29640,11966455.IR
29690,11966468.IR
41413,119668.BO
31577,119743.BO
30205,119753.BO
28920,119756.BO
33182,119758.BO
31563,119817.BO
30102,119836.BO
43177,119840.BO
43580,119842.BO
37345,119853.BO
35705,119870.BO
37878,119873.BO
38220,119890.BO
39327,119890.BO
40979,119892.BO
40014,119905.BO
32285,119925.BO
15483,11993116.SW
43428,119946.BO
36227,119995.BO
42341,119996.BO
27986,11AN.L
24562,11CH.L
20732,11FA.L
22545,11JT.L
22134,11KC.L
14347,11NB.L
22486,11OJ.L
14533,11OS.L
14949,11PT.L
9849,11SY.L
24003,11WQ.L
14556,11Z6.BE
16998,12003709.BE
17064,12003753.BE
30517,120050.BO
33109,120051.BO
29409,120059.BO
30757,120060.BO
40274,120075.BO
42090,120086.BO
34095,120111.BO
31875,120122.BO
37500,120127.BO
39483,120158.BO
38375,120158.BO
14721,120210.KS
31265,120258.BO
34016,120272.BO
30887,120274.BO
38409,120279.BO
39516,120279.BO
30577,120285.BO
39380,120318.BO
38473,120318.BO
30920,12040163.SW
40844,120408.BO
34452,1204429.SW
30118,120452.BO
30120,120454.BO
38088,12046494.IR
39092,12046494.IR
35691,120476.BO
44141,120479.BO
42138,120484.BO
29169,12052546.SW
38378,120556.BO
39486,120556.BO
31350,120562.BO
33054,120583.BO
37632,12059519.SW
31610,120604.BO
35704,120618.BO
35180,120657.BO
36160,120675.BO
42141,120694.BO
37005,120705.BO
32586,120709.BO
30219,120752.BO
31893,12076762.IR
23600,120802.L
23577,120804.L
8435,120807.L
38824,120840.BO
37819,120840.BO
34625,12087283.SW
38198,12112933.IR
39305,12112933.IR
41650,121160.BO
38324,121623.BO
39227,121623.BO
35051,12166.AX
13837,12170548.SW
33180,121937.BO
29195,121938.BO
34617,121940.BO
42660,12198876.IR
35696,12201653.IR
30452,12201675.IR
30621,122070.BO
17464,122090.KS
36050,122213.BO
35987,122214.BO
39536,122215.BO
38530,122215.BO
41258,122219.BO
28757,122220.BO
17564,122260.KS
28936,12236147.SW
36542,12236148.SW
17645,122390.KS
34461,12247403.SW
28897,12247694.IR
32436,12253105.IR
17326,122630.KS
38564,122712.BO
39668,122712.BO
29788,12274159.MX
32431,12288060.SW
32288,12288180.SW
35076,12288581.SW
32462,122891.BO
19200,12295266.IR
32349,12299915.IR
32641,12300733.IR
33812,12309313.IR
29027,12311831.IR
17423,123310.KS
17322,123320.KS
30682,12348305.IR
